142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,68,69,68,69,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141
176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,102,103,102,103,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175
210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,68,69,68,69,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209
244,245,242,243,244,245,242,243,244,245,242,243,244,245,242,243,244,245,242,243,244,245,242,243,244,245,102,103,102,103,242,243,244,245,242,243,244,245,242,243,244,245,242,243,244,245,242,243,244,245,242,243,244,245,242,243
142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,68,69,68,69,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141
176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,102,103,102,103,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175
210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,68,69,68,69,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209
244,245,242,243,244,245,242,243,244,245,242,243,244,245,242,243,244,245,242,243,244,245,242,243,244,245,102,103,102,103,242,243,244,245,242,243,244,245,242,243,244,245,242,243,244,245,242,243,244,245,242,243,244,245,242,243
142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,68,69,68,69,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141,142,143,140,141
176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,102,103,102,103,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175,176,177,174,175
210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,68,69,68,69,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209,210,211,208,209
244,245,242,243,244,245,242,243,244,245,310,311,312,313,310,311,312,313,310,311,312,313,310,311,312,313,102,103,102,103,310,311,312,313,310,311,312,313,310,311,312,313,310,311,312,313,242,243,244,245,242,243,244,245,242,243
